**ACTUATORS**
Actuator,Surface,View Factor To Ground,ZONE 2 WALL SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 2 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 2 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 2 WALL SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 2 WALL SOUTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 2 WALL NORTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 2 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 2 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 2 WALL NORTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 2 WALL NORTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 2 ROOF,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 2 ROOF,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 2 ROOF,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 2 ROOF,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 2 ROOF,[degree]
Actuator,Surface,View Factor To Ground,ZONE 2 WINDOW SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 2 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 2 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 2 WINDOW SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 2 WINDOW SOUTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 3 WALL SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 3 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 3 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 3 WALL SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 3 WALL SOUTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 3 WALL NORTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 3 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 3 WALL NORTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 3 WALL NORTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 3 WALL NORTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 3 ROOF,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 3 ROOF,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 3 ROOF,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 3 ROOF,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 3 ROOF,[degree]
Actuator,Surface,View Factor To Ground,ZONE 3 WINDOW SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 3 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 3 WINDOW SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 3 WINDOW SOUTH,[m/s]
Actuator,Surface,Outdoor Air Wind Direction,ZONE 3 WINDOW SOUTH,[degree]
Actuator,Surface,View Factor To Ground,ZONE 4 WALL SOUTH,[ ]
Actuator,Surface,Outdoor Air Drybulb Temperature,ZONE 4 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wetbulb Temperature,ZONE 4 WALL SOUTH,[C]
Actuator,Surface,Outdoor Air Wind Speed,ZONE 4 WALL SOUTH,[m/s]
